ID,Title,"Post Type",district_code,province_id
1171,"Huyện Đầm Hà",district,,360
1172,"Huyện Hải Hà",district,,360
1173,"Huyện Ba Chẽ",district,,360
1174,"Huyện Vân Đồn",district,,360
1175,"Huyện Hoành Bồ",district,,360
1176,"Thị xã Đông Triều",district,,360
1177,"Thị xã Quảng Yên",district,,360
1178,"Huyện Cô Tô",district,,360
1179,"Bắc Giang",district,,361
1180,"Huyện Yên Thế",district,,361
1181,"Huyện Tân Yên",district,,361
1182,"Huyện Lạng Giang",district,,361
1183,"Huyện Lục Nam",district,,361
1184,"Huyện Lục Ngạn",district,,361
1185,"Huyện Sơn Động",district,,361
1186,"Huyện Yên Dũng",district,,361
1187,"Huyện Việt Yên",district,,361
1188,"Huyện Hiệp Hòa",district,,361
1189,"Việt Trì",district,,362
1190,"Thị xã Phú Thọ",district,,362
1191,"Huyện Đoan Hùng",district,,362
1192,"Huyện Hạ Hoà",district,,362
1193,"Huyện Thanh Ba",district,,362
1194,"Huyện Phú Ninh",district,,372
1195,"Huyện Yên Lập",district,,362
1196,"Huyện Cẩm Khê",district,,362
1197,"Huyện Tam Nông",district,,407
1198,"Huyện Lâm Thao",district,,362
1199,"Huyện Thanh Sơn",district,,362
1200,"Huyện Thanh Thuỷ",district,,362
1201,"Huyện Tân Sơn",district,,362
1202,"Vĩnh Yên",district,,363
1203,"Thị xã Phúc Yên",district,,363
1204,"Huyện Lập Thạch",district,,363
1205,"Huyện Tam Dương",district,,363
1206,"Huyện Tam Đảo",district,,363
1207,"Huyện Bình Xuyên",district,,363
1208,"Huyện Yên Lạc",district,,363
1209,"Huyện Vĩnh Tường",district,,363
1210,"Huyện Sông Lô",district,,363
1211,"Bắc Ninh",district,,364
1212,"Huyện Yên Phong",district,,364
1213,"Huyện Quế Võ",district,,364
1214,"Huyện Tiên Du",district,,364
1215,"Thị xã Từ Sơn",district,,364
1216,"Huyện Thuận Thành",district,,364
1217,"Huyện Gia Bình",district,,364
1218,"Huyện Lương Tài",district,,364
1219,"Hải Dương",district,,365
1220,"Thị xã Chí Linh",district,,365
1221,"Huyện Nam Sách",district,,365
1222,"Huyện Kinh Môn",district,,365
