"ID","Title","Post Type","district_code","province_id"
"1149","Huyện Đồng Hỷ","district","00133","358"
"1150","Huyện Võ Nhai","district","00134","358"
"1151","Huyện Đại Từ","district","00135","358"
"1152","Thị xã Phổ Yên","district","00136","358"
"1153","Huyện Phú Bình","district","00137","358"
"1154","TP Lạng Sơn","district","00138","359"
"1155","Huyện Tràng Định","district","00139","359"
"1156","Huyện Bình Gia","district","00140","359"
"1157","Huyện Văn Lãng","district","00141","359"
"1158","Huyện Cao Lộc","district","00142","359"
"1159","Huyện Văn Quan","district","00143","359"
"1160","Huyện Bắc Sơn","district","00144","359"
"1161","Huyện Hữu Lũng","district","00145","359"
"1162","Huyện Chi Lăng","district","00146","359"
"1163","Huyện Lộc Bình","district","00147","359"
"1164","Huyện Đình Lập","district","00148","359"
"1165","TP Hạ Long","district","00149","360"
"1166","TP Móng Cái","district","00150","360"
"1167","TP Cẩm Phả","district","00151","360"
"1168","TP Uông Bí","district","00152","360"
"1169","Huyện Bình Liêu","district","00153","360"
"1170","Huyện Tiên Yên","district","00154","360"
"1171","Huyện Đầm Hà","district","00155","360"
"1172","Huyện Hải Hà","district","00156","360"
"1173","Huyện Ba Chẽ","district","00157","360"
"1174","Huyện Vân Đồn","district","00158","360"
"1175","Huyện Hoành Bồ","district","00159","360"
"1176","Thị xã Đông Triều","district","00160","360"
"1177","Thị xã Quảng Yên","district","00161","360"
"1178","Huyện Cô Tô","district","00162","360"
"1179","TP Bắc Giang","district","00163","361"
"1180","Huyện Yên Thế","district","00164","361"
"1181","Huyện Tân Yên","district","00165","361"
"1182","Huyện Lạng Giang","district","00166","361"
"1183","Huyện Lục Nam","district","00167","361"
"1184","Huyện Lục Ngạn","district","00168","361"
"1185","Huyện Sơn Động","district","00169","361"
"1186","Huyện Yên Dũng","district","00170","361"
"1187","Huyện Việt Yên","district","00171","361"
"1188","Huyện Hiệp Hòa","district","00172","361"
"1189","TP Việt Trì","district","00173","362"
"1190","Thị xã Phú Thọ","district","00174","362"
"1191","Huyện Đoan Hùng","district","00175","362"
"1192","Huyện Hạ Hoà","district","00176","362"
"1193","Huyện Thanh Ba","district","00177","362"
"1194","Huyện Phú Ninh","district","00178","372"
"1195","Huyện Yên Lập","district","00179","362"
"1196","Huyện Cẩm Khê","district","00180","362"
"1197","Huyện Tam Nông","district","00181","407"
"1198","Huyện Lâm Thao","district","00182","362"
"1199","Huyện Thanh Sơn","district","00183","362"
"1200","Huyện Thanh Thuỷ","district","00184","362"
"1201","Huyện Tân Sơn","district","00185","362"
"1202","TP Vĩnh Yên","district","00186","363"
"1203","Thị xã Phúc Yên","district","00187","363"
"1204","Huyện Lập Thạch","district","00188","363"
"1205","Huyện Tam Dương","district","00189","363"
"1206","Huyện Tam Đảo","district","00190","363"
"1207","Huyện Bình Xuyên","district","00191","363"
"1208","Huyện Yên Lạc","district","00192","363"
"1209","Huyện Vĩnh Tường","district","00193","363"
"1210","Huyện Sông Lô","district","00194","363"
"1211","TP Bắc Ninh","district","00195","364"
"1212","Huyện Yên Phong","district","00196","364"
"1213","Huyện Quế Võ","district","00197","364"
"1214","Huyện Tiên Du","district","00198","364"
"1215","Thị xã Từ Sơn","district","00199","364"
"1216","Huyện Thuận Thành","district","00200","364"
"1217","Huyện Gia Bình","district","00201","364"
"1218","Huyện Lương Tài","district","00202","364"
"1219","TP Hải Dương","district","00203","365"
"1220","Thị xã Chí Linh","district","00204","365"
"1221","Huyện Nam Sách","district","00205","365"
"1222","Huyện Kinh Môn","district","00206","365"
"1223","Huyện Kim Thành","district","00207","365"
"1224","Huyện Thanh Hà","district","00208","365"
"1225","Huyện Cẩm Giàng","district","00209","365"
"1226","Huyện Bình Giang","district","00210","365"
"1227","Huyện Gia Lộc","district","00211","365"
"1228","Huyện Tứ Kỳ","district","00212","365"
"1229","Huyện Ninh Giang","district","00213","365"
"1230","Huyện Thanh Miện","district","00214","365"
"1231","Quận Hồng Bàng","district","00215","366"
"1232","Quận Ngô Quyền","district","00216","366"
"1233","Quận Lê Chân","district","00217","366"
"1234","Quận Hải An","district","00218","366"
"1235","Quận Kiến An","district","00219","366"
"1236","Quận Đồ Sơn","district","00220","366"
"1237","Quận Dương Kinh","district","00221","366"
"1238","Huyện Thuỷ Nguyên","district","00222","366"
"1239","Huyện An Dương","district","00223","366"
"1240","Huyện An Lão","district","00224","380"
"1241","Huyện Kiến Thuỵ","district","00225","366"
"1242","Huyện Tiên Lãng","district","00226","366"
"1243","Huyện Vĩnh Bảo","district","00227","366"
"1244","Huyện Cát Hải","district","00228","366"
"1245","TP Hưng Yên","district","00229","367"
"1246","Huyện Văn Lâm","district","00230","367"
"1247","Huyện Văn Giang","district","00231","367"
"1248","Huyện Yên Mỹ","district","00232","367"
"1249","Huyện Mỹ Hào","district","00233","367"
"1250","Huyện Ân Thi","district","00234","367"
"1251","Huyện Khoái Châu","district","00235","367"
"1252","Huyện Kim Động","district","00236","367"
"1253","Huyện Tiên Lữ","district","00237","367"
"1254","Huyện Phù Cừ","district","00238","367"
"1255","TP Thái Bình","district","00239","368"
"1256","Huyện Quỳnh Phụ","district","00240","368"
"1257","Huyện Hưng Hà","district","00241","368"
