"Phường Xã","province_id","district_id"
"Xã Hải Bối","347","1027"
"Xã Xuân Canh","347","1027"
"Xã Võng La","347","1027"
"Xã Tầm Xá","347","1027"
"Xã Mai Lâm","347","1027"
"Xã Đông Hội","347","1027"
"Thị trấn Yên Viên","347","1028"
"Xã Yên Thường","347","1028"
"Xã Yên Viên","347","1028"
"Xã Ninh Hiệp","347","1028"
"Xã Đình Xuyên","347","1028"
"Xã Dương Hà","347","1028"
"Xã Phù Đổng","347","1028"
"Xã Trung Mầu","347","1028"
"Xã Lệ Chi","347","1028"
"Xã Cổ Bi","347","1028"
"Xã Đặng Xá","347","1028"
"Xã Phú Thị","347","1028"
"Xã Kim Sơn","347","1028"
"Thị trấn Trâu Quỳ","347","1028"
"Xã Dương Quang","347","1028"
"Xã Dương Xá","347","1028"
"Xã Đông Dư","347","1028"
"Xã Đa Tốn","347","1028"
"Xã Kiêu Kỵ","347","1028"
"Xã Bát Tràng","347","1028"
"Xã Kim Lan","347","1028"
"Xã Văn Đức","347","1028"
"Phường Cầu Diễn","347","1029"
"Phường Xuân Phương","347","1029"
"Phường Phương Canh","347","1029"
"Phường Mỹ Đình 1","347","1029"
"Phường Mỹ Đình 2","347","1029"
"Phường Tây Mỗ","347","1029"
"Phường Mễ Trì","347","1029"
"Phường Phú Đô","347","1029"
"Phường Đại Mỗ","347","1029"
"Phường Trung Văn","347","1029"
"Thị trấn Văn Điển","347","#N/A"
"Xã Tân Triều","347","#N/A"
"Xã Thanh Liệt","347","#N/A"
"Xã Tả Thanh Oai","347","#N/A"
"Xã Hữu Hoà","347","#N/A"
"Xã Tam Hiệp","347","#N/A"
"Xã Tứ Hiệp","347","#N/A"
"Xã Yên Mỹ","347","#N/A"
"Xã Vĩnh Quỳnh","347","#N/A"
"Xã Ngũ Hiệp","347","#N/A"
"Xã Duyên Hà","347","#N/A"
"Xã Ngọc Hồi","347","#N/A"
"Xã Vạn Phúc","347","#N/A"
"Xã Đại áng","347","#N/A"
"Xã Liên Ninh","347","#N/A"
"Xã Đông Mỹ","347","#N/A"
"Phường Thượng Cát","347","1031"
"Phường Liên Mạc","347","1031"
"Phường Đông Ngạc","347","1031"
"Phường Đức Thắng","347","1031"
"Phường Thụy Phương","347","1031"
"Phường Tây Tựu","347","1031"
"Phường Xuân Đỉnh","347","1031"
"Phường Xuân Tảo","347","1031"
"Phường Minh Khai","347","1031"
"Phường Cổ Nhuế 1","347","1031"
"Phường Cổ Nhuế 2","347","1031"
"Phường Phú Diễn","347","1031"
"Phường Phúc Diễn","347","1031"
"Thị trấn Chi Đông","347","1032"
"Xã Đại Thịnh","347","1032"
"Xã Kim Hoa","347","1032"
"Xã Thạch Đà","347","1032"
"Xã Tiến Thắng","347","1032"
"Xã Tự Lập","347","1032"
"Thị trấn Quang Minh","347","1032"
"Xã Thanh Lâm","347","1032"
"Xã Tam Đồng","347","1032"
